args	labels
self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	True
autonomous cars will never get tired nor be influenced by drugs and alcohol, hence they will be safer than human controlled cars.	False
autonomous cars will drive much smoother and therefor produce less pollution	True
many drivers today simply do what their gps app tell them to, so why not use self-driving cars to do the whole process	False
autonomous cars will reduce the 40,000 casualties a year (in the us alone) by two orders of magnitude. don't drive - save lives - let the computer do that for you	True
autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams.	False
autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them.	True
we should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.	False
autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	True
i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.	False
because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the united states alone each year.	True
technological progress is inevitable. we need ambitious goals, like developing autonomous cars, to inspire young people to pursue careers in technology so that our rate of progress can continue.	False
driving is, by far, the most dangerous activity a human will do in their lifetime. autonomous cars can provide a safe mode of transportation and save the lives of motorists.	True
autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.	False
autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.	True
even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.	False
autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	True
thomas edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “i have not failed. i've just found 10,000 ways that won't work.”	False
development of autonomous cars brings technologies that can be applied to current cars, making them safer and more friendly to the environment.	True
autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.	False
self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.	True
as long as human kind exist in this world, there is need for transportation, however having autonomous vehicle would let human to spend time on gaining new skills beyond just driving.	False
autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. autonomous vehicles may not text while driving. they do not get intoxicated either.	True
drivers admitted failure to report collisions at 29%. therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.	False
autonomous cars can potentially communicate with one another and create a safe driving environment decreasing accidents significantly.	True
i waste a lot of time on my commute every day. i wish i had an autonomous car to give me back several hours a week that i could use for other things.	False
autonomous cars are much safer than those driven by humans	True
development of autonomous cars will also boost the development of electric cars, since those two technologies are closely related.	False
autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.	True
the technology for driverless cars will mature over time, similarly to many other technologies we use every day.	False
autonomous cars will reduce the 40,000 casualties a year (in the us alone) by two orders of magnitude. don't drive - save lives - let the computer do that for you	True
drivers admitted failure to report collisions at 29%. therefore, flipping the switch on autonomous cars would achieve 0% improvement in reported crashes - actually a 29% decrease.	False
