args,labels
"Self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.",True
Even only 5% of autonomous vehicles could have a significant impact in eliminating waste and reducing the total fuel consumption by up to 40%.,False
"Because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the United States alone each year.

",True
Autonomous cars will give people who are blind a great expansion in independence and quality of life.,False
Autonomous cars will drive much smoother and therefor produce less pollution ,True
"Many drivers today simply do what their GPS app tell them to, so why not use self-driving cars to do the whole process",False
"Autonomous cars will reduce the 40,000 casualties a year (in the US alone) by two orders of magnitude.



Don't drive - save lives - let the computer do that for you",True
"Autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams. ",False
"Autonomous cars will enable people who cannot otherwise drive, such as those with medical disabilities, to get around and make more things accessible for them. ",True
"We should continue the development of autonomous vehicles, but implement it in a public situation until there is no risk.",False
Driving is dangerous for humans. Autonomous cars could make driving safer.,True
Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.,False
"Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.",True
I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.,False
Humans often perceive their ability to be higher than it truly is and thus behave dangerously while driving because they think they are especially good drivers; autonomous vehicle has an accurate perception of its abilities.,True
"More testing is needed, but autonomous cars of future would lower road rage by design. Aggressive and unsafe driving is not allowed by design - just a safe drive from point A to B. ",False
"Because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the United States alone each year.

",True
"Technological progress is inevitable. We need ambitious goals, like developing autonomous cars, to inspire young people to pursue careers in technology so that our rate of progress can continue.",False
"Driving is, by far, the MOST dangerous activity a human will do in their lifetime.  Autonomous cars can provide a safe mode of transportation and save the lives of motorists.",True
"Autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.",False
Autonomous vehicles do not have lapses of inattention that are the root cause of many accidents. Autonomous vehicles may not text while driving. They do not get intoxicated either.,True
"Even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.",False
"Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.",True
"Thomas Edison would argue to continue autonomous car development since his spirit of perseverance is captured in his famous quote: “I have not failed. I've just found 10,000 ways that won't work.” ",False
Autonomous cars will ease people and reduce traffic,True
"Many drivers today simply do what their GPS app tell them to, so why not use self-driving cars to do the whole process",False
"Even if one has concerns about the deployment of autonomous cars, stopping their development is unwise because new things can be learned and it is likely they have some future role to play.",True
If all cars on every road were autonomous vehicles then human error would be eliminated and the roads would become much safer places.,False
"Autonomous cars increase our free time, because instead of driving people can now work or engage in entertainment during their commute.",True
"Autonomous cars are not quite ready to deploy, but they will be safer than human-driven cars.

",False
"Self driving cars can reduce traffic accidents, which means there will be fewer deaths and injuries caused by these accidents.",True
"Autonomous cars prove to be quite efficient, and will become better over time - we must continue developing them to reach their full potential",False
Autonomous cars will definitely help in solving some of our accidents and fatalities in car accidents. It should also improve our quality of life as hopefully it can also alleviate congestion on highways.,True
90% of traffic accidents are due (at least partially) to human error. Traffic accidents are a mayor death cause. Autonomous cars will make those number drop drastically.,False
"Autonomous cars have all human beings' capabilities plus advantages like never tired, faster reaction and further detection abilities. The arguable point is unexpected emergency handling which human being also have different results among different populations.",True
Autonomous vehicles provide a significant challenge to science and engineering that will make transportation safer and benefit society beyond transportation just like the race to put a man on the moon.,False
"Because autonomous cars are so much safer than human drivers, their widespread adoption could save over 40,000 lives in the United States alone each year.

",True
"Autonomous cars are going to affect humanity in a good way, and IBM should be a driving force in this industry",False
"Machines are just better than humans at executing algorithmic tasks, such as driving. As a consequence, autonomous cars will perform better than human drivers.",True
I waste a lot of time on my commute every day. I wish I had an autonomous car to give me back several hours a week that I could use for other things.,False
"Autonomous cars offer the mobility we crave with a persistent safety aspect to reduce the senseless deaths caused by impaired, distracted or tired drivers.",True
Autonomous cars can save parking areas since the cars can continue serving other passengers,False
Autonomous cars will free people from the need to drive and allow them to pursue more valuable activities.,True
"Autonomous cars will be able to drive much closer together, making traffic move much smoother and lessening traffic jams. ",False
"Autonomous cars will enable travel options for the young, old and impaired that are currently not avaialable.",True
"Cars are not used for most of their ""life"", mainly being ""clutter"" on the sides of our roads, autonomous vehicles will need fewer cars, taking less space.",False
"Autonomous cars will be more efficient, thus reducing the pollution from cars",True
"The technology for driverless cars will mature over time, similarly to many other technologies we use every day.",False
Autonomous cars will reduce number of accidents since most accidents are due to a human error.,True
"Inventions to make driving simpler and safer, for e.g., automatic transmission, are small steps towards autonomous cars that have been going on since the invention of the automobile.",False
"Autonomous cars will reduce the 40,000 casualties a year (in the US alone) by two orders of magnitude.



Don't drive - save lives - let the computer do that for you",True
"Cars are not used for most of their ""life"", mainly being ""clutter"" on the sides of our roads, autonomous vehicles will need fewer cars, taking less space.",False
"Driverless cars are likely to improve with use and over time, so if developed, the technology will likely be safer than humans in the future.",True
